epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,11166.2,0.50527,0.49469,0.95565,0.87089,0.82252,0.9117,0.84188,0.37764,0.51163,1.03298,0.000253086,0.000253086,0.000253086
158,11235.3,0.50446,0.47919,0.9543,0.86616,0.87031,0.91797,0.84582,0.37854,0.49797,1.02537,0.000247586,0.000247586,0.000247586
159,11307,0.49188,0.47833,0.95288,0.84267,0.85246,0.91199,0.84086,0.37762,0.53355,1.02996,0.000242087,0.000242087,0.000242087
160,11386.8,0.49041,0.48933,0.95242,0.86314,0.83999,0.91946,0.8418,0.37952,0.50494,1.02765,0.000236587,0.000236587,0.000236587
161,11467.3,0.48952,0.47809,0.95335,0.85578,0.82304,0.90934,0.83349,0.38488,0.55808,1.02818,0.000231088,0.000231088,0.000231088
162,11546.5,0.49327,0.4914,0.95636,0.86404,0.82489,0.91026,0.83337,0.38204,0.53808,1.03225,0.000225589,0.000225589,0.000225589
163,11619.7,0.49726,0.48099,0.95531,0.84092,0.89809,0.91977,0.84436,0.37804,0.50418,1.03124,0.000220089,0.000220089,0.000220089
164,11693.8,0.49514,0.47893,0.95072,0.85747,0.81696,0.8972,0.82142,0.38715,0.54346,1.03272,0.00021459,0.00021459,0.00021459
165,11767.8,0.48732,0.46528,0.95113,0.83892,0.85184,0.90341,0.82786,0.38153,0.53574,1.03583,0.00020909,0.00020909,0.00020909
166,11844.5,0.4966,0.47577,0.95976,0.85796,0.8305,0.90024,0.82949,0.37529,0.53749,1.0309,0.000203591,0.000203591,0.000203591
167,11922.6,0.48606,0.46811,0.95595,0.86261,0.8451,0.90647,0.83219,0.37274,0.5071,1.02802,0.000198091,0.000198091,0.000198091
168,11999.1,0.49089,0.46986,0.96012,0.85652,0.84809,0.91549,0.84026,0.37101,0.51364,1.02862,0.000192592,0.000192592,0.000192592
169,12073.8,0.49076,0.47669,0.94889,0.88011,0.81023,0.90675,0.83337,0.36792,0.52943,1.02382,0.000187092,0.000187092,0.000187092
170,12146.8,0.47923,0.45747,0.94935,0.83847,0.86013,0.9076,0.83549,0.37668,0.5139,1.03016,0.000181593,0.000181593,0.000181593
171,12217.8,0.48119,0.44627,0.95064,0.848,0.84194,0.91566,0.84212,0.37329,0.5025,1.02426,0.000176094,0.000176094,0.000176094
172,12288.4,0.48335,0.46016,0.95345,0.8665,0.83809,0.91091,0.83699,0.37887,0.49721,1.02998,0.000170594,0.000170594,0.000170594
173,12359.7,0.47169,0.45197,0.95147,0.85521,0.85076,0.91426,0.84208,0.37344,0.49457,1.02225,0.000165095,0.000165095,0.000165095
174,12434.4,0.4815,0.45657,0.95536,0.87226,0.8371,0.91492,0.84237,0.37224,0.47638,1.02757,0.000159595,0.000159595,0.000159595
175,12508.2,0.48834,0.45107,0.96157,0.85309,0.84359,0.90883,0.8347,0.37403,0.50045,1.03173,0.000154096,0.000154096,0.000154096
